winery name|wine|price|type|vintage|varietal
|Old Vine Zinfandel |$36.00|red|2008|Zinfandel 
Dark Star Cellars |Cabernet Sauvignon|$25.00|red|2007|Cabernet Sauvignon
| Zinfandel|$25.00|red|2008|Zinfandel
Denner Vineyards|Viognier |$32.00|white|2009|Viognier 
|Dirt Worshipper|$45.00|red|2008|Syrah
|Mourvedre|$42.00|red|2007|Mourvedre
Donati Family Vineyard|Cabernet Franc
|$28.00|red|2007|Cabernet Franc
|Cabernet Sauvignon|$25.00|red|2006|Cabernet Sauvignon
|Pinot Blanc|$20.00|white|2009|Pinot Blanc
Dover Canyon Winery |Cujo Zinfandel|$19.00|red|2009|Zinfandel
| Reserve Syrah|$32.00|red|2007|Syrah
|Zinfandel Port|$28.00|dessert|2007|Zinfandel
Dunning Vineyards Estate Winery |Estate Cabernet Sauvignon|$28.00|red|2007|Cabernet Sauvignon
|Estate Chardonnay|$22.00|white|2008|Chardonnay
|Estate Zinfandel "Ridge Top"|$26.00|red|2007|Zinfandel
Eberle Winery|Estate Muscat Canelli|$14.00|white|2009|Muscat
|Syrah Rosé|$17.00|rose|2008|Syrah
|Estate Cabernet Sauvignon|$34.00|red|2006|Cabernet Sauvignon
Ecluse Wines|Syrah Lock Vineyard|$32.00|red|2006|Syrah
|Rendition|$38.00|red|2007|Rhone
Edward Sellers Vineyards & Wines|Grenache|$30.00|red|2006|Grenache
|Syrah Sélectionnée |$34.00|red|2006|Syrah
|Roussanne |$28.00|white|2007|Roussanne 
Firestone Vineyard Paso|Merlot, Santa Ynez Valley |$18.00|red|2006|Merlot
|Cabernet Sauvignon, The Chairman Series,|$35.00|red|2006|Cabrnet Sauvignon
|Late Harvest Riesling, (375ml) |$25.00|dessert|2005|Riesling
Four Sisters Ranch |Cabernet Sauvignon|$22.00|red|2005|Cabernet Sauvignon
|Merlot|$20.00|red|2005|Merlot
Four Vines Winery|One Tree Hill Block Syrah,|$40.00|red|2007|Syrah
|Biker Zinfandel,|$28.00|red|2008|Zinfandel
|Paso Petite Sirah,|$18.00|red|2007|Syrah
Frolicking Frog|Sauvignon Blanc|$18.00|white|2008|Sauvignon Blanc
|Zinfandel|$28.00|red|2006|Zinfandel
|Reserve Cabernet Sauvignon|$28.00|red|2005|Cabernet Sauvignon
FS Cellars|MOURVEDRE|$35.00|red|2007|Mourvedre
|Petite Sirah "Reserve"|$34.00|red|2005|Syrah
|CHARDONNAY|$26.00|white|2009|Chardonnay
Gelfand Vineyards |Cabernet Sauvignon|$35.00|red|2007|Cabernet Sauvignon
|Cab Port(375 ml)|$30.00|dessert|2007|Cabernet Sauvignon
Graveyard Vineyards|Estate Syrah|$21.00|red|2007|Syrah
|Reserve Cabernet Sauvignon|$38.00|red|2007|Cabernet Sauvignon
|Central Coast Chardonnay |$16.00|white|2009|Chardonnay
Greg Norman California Estates|Reserve Cabernet Sauvignon|$50.00|red|2003|Cabernet Sauvignon
|Zinfandel|$15.00|red|2005|Zinfandel
|Sauvignon Blanc|$14.00|white|2008|Sauvignon Blanc
GreMarK Vineyards |Mavelese|$32.00|red|2005|Blend
|Syrah Rose|$18.00|rose|2009|Syrah
|Zinfandel|$28.00|red|2007|Zinfandel
Grey Wolf Vineyards & Cellars|Southpaw|$24.00|white|2009|Sauvignon Blanc
|Zinfandel- "Big Bad Wolf"|$30.00|red|2008|Zinfandel
|Tempranillo- The Trapper|$28.00|red|2008|Tempranillo
Halter Ranch Vineyard|Ancestor Estate Reserve|$44.00|red|2005|Bordeaux Blend
|Cabernet Sauvignon |$28.00|red|2007|Cabernet Sauvignon 
|Viognier |$24.00|white|2009|Viognier 
HammerSky Vineyards|Estate Grown Zinfandel reserve|$39.00|red|2008|Zinfandel
|Party of Four|$39.00|red|2008|Bordeaux Blend
Hansen Winery|Viognier |$28.00|white|2008|Viognier 
|Cabernet Sauvignon|$42.00|red|2006|Cabernet Sauvignon
|Zinfandel|$34.50|red|2008|Zinfandel
Harmony Cellars|Merlot|$16.00|red|2007|Merlot
|Diamond Reserve Petite Sirah|$37.00|red|2007|Syrah
|Chardonnay|$18.50|white|2008|Chardonnay
Hearst Ranch Winery|Bunkhouse Cabernet Sauvignon |$30.00|red|2007|Cabernet Sauvignon
|Pico Creek Merlot |$30.00|red|2007|Merlot
|Enchantment Late Harvest Zinfandel |$30.00|dessert|2007|Zinfandel
Hearthstone Vineyard & Winery|Pinot Noir |$32.00|red|2007|Pinot Noir
|Slipstone|$25.00|red|2005|Rhone
|Pearl|$22.00|white|2007|Rhone
Hidden Oak Winery|Viognier|$26.00|white|2009|Viognier 
|Merlot Reserve|$24.95|red|2006|Merlot
Hug Cellars|Booker Vineyard Cabernet Sauvignon|$65.00|red|2008|Cabernet Sauvignon
|Casa Torres Vineyard Pinot Noir|$40.00|red|2007|Pinot Noir
Hunt Cellars|Merlot "Unforgettable"|$45.00|red|2004|Merlot
|Sauvignon Blanc "Starlight Concerto"|$34.00|white|2006|Sauvignon Blanc
J Dusi Wines|Zinfandel |$32.00|red|2008|Zinfandel
|J Dusi Zinfandel Port |$28.00|dessert|2007|Zinfandel
J&J Cellars|Barbera|$25.00|red|2005|Barbera
|Cabernet Sauvignon|$28.00|red|2006|Cabernet Sauvignon
J. Lohr Vineyards & Wines|J. Lohr Estates Seven Oaks Cabernet Sauvignon|$17.00|red|2008|Cabernet Sauvignon
| J. Lohr Estates Riverstone Chardonnay|$14.00|white|2009|Chardonnay
|Estates Bay Mist white Riesling|$10.00|white|2009|Riesling
Jack Creek Cellars|CONCRETE BLONDE CHARDONNAY|$36.00|white|2009|Chardonnay
|SYRAH|$45.00|red|2007|Syrah
|ESTATE PINOT NOIR|$32.00|red|2008|Pinot Noir
Jada Vineyard & Winery| Hell's Kitchen|$50.00|red|2008|Rhone
|"88"|$30.00|white|2009|Rhone
Veris Cellars |Merlot|$18.00|red|2005|Merlot
| Zinfandel|$18.00|red|2006| Zinfandel
|Sauvignon Blanc|$18.00|white|2008|Sauvignon Blanc
JUSTIN Vineyards & Winery|Malbec|$30.00|red|2008|Malbec
|Reserve Chardonnay|$26.25|white|2009|Chardonnay
|OBTUSE |$15.95|dessert|2008|Cabernet Sauvignon
Kenneth Volk Vineyards|Jaybird Chardonnay|$24.00|white|2009|Chardonnay
|Pinot Noir, Old School |$30.00|red|2007|Pinot Noir
| Merlot, Paso Robles|$24.00|red|2005|Merlot
Kiamie Wine Cellars |Meritage|$32.00|red|2006|Blend
|Cabernet Sauvignon|$32.00|red|2005|Cabernet Sauvignon
kukkula|vaalea|$18.00|white|2008|Rhone
| i.p.o|$20.00|red|2005|Blend
|Lothario|$28.00|red|2006|Blend
L'Aventure Winery |L'Aventure Estate Roussanne|$80.00|white|2008|Roussane
| L'Aventure Estate Cabernet Sauvignon |$80.00|red|2007|Cabernet Sauvignon
Laraneta Winery|Cabernet Sauvignon|$28.00|red|2005|Cabernet Sauvignon
|Sangiovese|$25.00|red|2005|Sangiovese
|Sa Va|$26.00|red|2005|Merlot
Le Vigne Winery|Cabernet Sauvignon |$6.99|red|2007|Cabernet Sauvignon
|Kiara Zinfandel |$19.99|red|2007|Zinfandel
|Syrah Port |$24.99|dessert|2005|Syrah
Locatelli Vineyards & Winery|Cabernet Sauvignon|$22.00|red|2006|Cabernet Sauvignon
|Old Vine Zinfandel|$25.00|red|2007|Zinfandel
|Barbera|$30.00|red|2008|Barbera
Loma Linda Vineyards LLC|petite sirah|$28.00|red|2006|Syrah
|Zinfandel|$28.00|red|2007|Zinfandel
Lone Madrone|Viognier |$32.00|white|2009|Viognier 
|Bailey Ranch Zinfandel |$33.00|red|2007|Zinfandel
|Nebbiolo |$25.00|red|2004|Nebbiolo 
Maloy O'Neill Vineyards|Syrah, Private Reserve|$36.00|red|2004|Syrah
|Chardonnay|$20.00|white|2005|Chardonnay
|Muscat, Late Harvest|$18.00|dessert|2003|Muscat
Meridian Vineyards|Meridian Merlot California|$10.00|red|2007|Merlot
|Meridian Pinot Noir Limited Release|$22.00|red|2008|Pinot Noir
|Meridian Gewurtztraminer |$18.00|white|2008| Gewurtztraminer 
Midnight Cellars|Estate Reserve Chardonnay|$26.00|white|2008|Chardonnay
|Malbec "Solstice"|$28.00|red|2006|Malbec
|Estate Zinfandel|$29.00|red|2007|Zinfandel
Minassian-Young Vineyards|Estate Zinfandel|$24.00|red|2008|Zinfandel
|Tempranillo|$22.00|red|2006|Tempranillo
|Mourvedre|$23.00|red|2007|Mourvedre
Mitchella Vineyard & Winery|Cabernet Franc|$25.00|red|2008|Cabernet Franc
|Petite Sirah|$25.00|red|2008|Syrah
|Port- Tawny - Riportella |$28.00|dessert|-|Zinfandel
Mondo Cellars|Gigolo Pinot Noir|$32.00|red|2008| Pinot Noir
|Chardonnay |$16.00|white|2009|Chardonnay 
|MacTavish Rosé |$14.00|rose|2009|Blend
Moonstone Cellars|Chardonnay|$19.00|white|2009|Chardonnay
|Gewurztraminer|$17.00|white|2009|Gewurztraminer
|Zinfandel|$28.00|red|2008|Zinfandel
Nadeau Family Vintners|Zinfandel "Home Ranch"|$25.00|red|2005|Zinfandel
|Viognier|$21.00|white|2008|Viognier
|Mouvedre|$25.00|red|2006|Mouvedre
Nichols Winery & Cellars|Pinot Noir,|$33.00|red|2002|Pinot Noir
|Cabernet Sauvignon |$28.00|red|1997|Cabernet Sauvignon 
Niner Wine Estates|Sauvignon Blanc|$17.00|white|2008|Sauvignon Blanc
|Barbera|$20.00|red|2006|Barbera
| Cabernet Franc|$28.00|red|2007| Cabernet Franc
Opolo Vineyards|Mountain Zinfandel|$28.00|red|2008|Zinfandel
|Late Harvest Zinfandel|$34.00|red|2007|Zinfandel
|Pinot Grigio|$22.00|white|2006|Pinot Grigio
