winery name|wine| price |type|vintage|varietal
Atalon|Sauvignon Blanc|$24.00 |white|2007|Sauvignon Blanc
|Merlot|$34.00 |red|2004|Merlot
|Cabernet Sauvignon|$44.00 |red|2004|Cabernet Sauvignon
Atlas Peak Vineyards|Cabernet Sauvignon|$38.00 |red|2005|Cabernet Sauvignon
|Howell Mountain Cabernet|$85.00 |red|2005|Cabernet Sauvignon
|Claret|$85.00 |red|2005|Claret
Au Sommet|Cabernet Sauvignon|$250.00 |red|2008|Cabernet Sauvignon
August Briggs Wines|Russian River Pinot Noir|$38.00 |red|2008|Pinot Noir
|Old Vines' Zinfandel|$35.00 |red|2008|Zinfandel
|Two Moon Vineyard' Dry Creek Valley Cabernet Sauvignon|$55.00 |red|2006|Cabernet Sauvignon
Autumn Moon Cellars|Chardonnay Carneros||white|2003|Chardonnay
|Cabernet Sauvignon||red|2002|Cabernet Sauvignon
Bacio Divino|Bacio Divino|$80.00 |red|2007|Cabernet Sauvignon
|Pazzo|$32.00 |red|2007|Blend
|Vagabond|$60.00 |red|2007|Blend
|Janzen 'Beckstoffer To Kalon Vineyard'|$135.00 |red|2007|Blend
Baldacci Vineyards|Four Sons Cabernet Sauvignon|$35.00 |red|2006|Cabernet Sauvignon
|Balack Label Cabernet Sauvignon|$65.00 |red|2005|Cabernet Sauvignon
|Brenda's Vineyard Cabernet Sauvignon|$85.00 |red|2006|Cabernet Sauvignon
Ballentine Vineyards|Chenin Blanc|$15.00 |white|2008|Chenin Blanc
|Zinfandel|$20.00 |red|2006|Zinfandel
|Integrity|$32.00 |red|2003|Blend
|Zinfandel Port|$40.00 |dessert|2005|Port
Barbour Vineyards|Cabernet Sauvignon|$100.00 |red|2007|Cabernet Sauvignon
|Cabernet Sauvignon Etched Magnum|$350.00 |red|2005|Cabernet Sauvignon
Bardessono|Cabernet Sauvignon|$33.00 |red|2006|Cabernet Sauvignon
|Petite Sirah|$37.00 |red|2007|Petite Sirah
|Cabernet Sauvignon|$60.00 |red|2004|Cabernet Sauvignon
Barlow Vineyards |Cabernet Sauvignon|$50.00 |red|2006|Cabernet Sauvignon
|Zinfandel|$28.00 |red|2007|Zinfandel
|Barrouge|$45.00 |red|2007|Blend
|Sailor's Delight|$13.00 |rose|2005|Blend
Barnett Vineyards |Savoy Vineyard Chardonnay|$35.00 |white|2007|Chardonnay
|Viento Calle Pinot Noir|$45.00 |red|2008|Pinot Noir
|Merlot|$48.00 |red|2007|Merlot
Bartalotti|Rutherford Cabernet Sauvignon|$48.00 |red|2005|Cabernet Sauvignon
|Reserve Stags Leap District Cabernet Sauvignon|$60.00 |red|2005|Cabernet Sauvignon
Beau Vigne|Persuasion|$39.95 |white|2008|Chardonnay
|Juliet|$55.00 |red|2008|Blend
|Cult|$75.00 |red|2008|Cabernet Sauvignon
|Cabernet Sauvignon Reserve|$100.00 |red|2007|Cabernet Sauvignon
Beaucanon Estate|Estate Sauvignon Blanc|$20.00 |white|2009|Sauvignon Blanc
|Estate Merlot|$25.00 |red|2004|Merlot
|Estate Cabernet Franc|$26.00 |red|2005|Cabernet Franc
|Trifecta|$35.00 |red|2005|Blend
Beaulieu Vineyard|Chardonnay Carneros||white||Chardonnay
|Reserve Tapestry||red||Blend
|Clone 6 Cabernet Sauvignon||red||Cabernet Sauvignon
Bell Wine Cellars |Sauvignon Blanc|$17.00 |white|2009|Sauvignon Blanc
|Big Guy Red|$20.00 |red|2007|Blend
|Syrah|$26.00 |red|2007|Syrah
|Cabernet Sauvignon Reserve Clone 6|$90.00 |red|2007|Cabernet Sauvignon
Bello Family|Cabernet Sauvignon|$45.00 |red|2004|Cabernet Sauvignon
|Cabernet sauvignon|$85.00 |red|2005|Cabernet Sauvignon
|Cabernet Sauvignon|$95.00 |red|2007|Cabernet Sauvignon
Benessere Vineyards|Muscat de Canelli|$18.00 |dessert|2008|Muscat 
|Pinot Grigio |$24.00 |white|2009|Pinot Grigio
|Sangiovese|$32.00 |red|2007|Sangiovese
|Phenomenon|$60.00 |red|2006|Blend
Bennett Lane Winery|Maximus White|$28.00 |white|2009|Blend
|Cabernet Sauvignon|$55.00 |red|2006|Cabernet Sauvignon
|Reserve Cabernet Sauvignon|$95.00 |red|2007|Cabernet Sauvignon
|Dessert Wine|$60.00 |dessert||Port
Beringer Vineyards|Chenin Blanc|$7.00 |white|2009|Chenin Blanc
|Rose Leaning Oak|$20.00 |rose|2009|Pinot Noir
|Cabernet Sauvignon Leaning Oak|$34.00 |red|2006|Cabernet Sauvignon
|Private Reserve Cabernet Sauvignon|$300.00 |red|1991|Cabernet Sauvignon
Bettinelli Vineyards|Sparkling Viognier|$24.00 |white|2002|Viognier
|Merlot|$30.00 |red|2001|Merlot
|Lake County Zinfandel|$65.00 |red|2002|Zinfandel
Bevan Cellars|Sauvignon Blanc|$28.00 |white|2009|Sauvignon Blanc
|Ontogeny Red|$58.00 |red|2008|Blend
|Syrah Richard's Cuvee|$70.00 |red|2008|Syrah
|Red Wine Double E's Cuvee|$150.00 |red|2008|Blend
Bialla Vineyards|Cabernet Sauvignon|$125.00 |red|2007|Cabernet Sauvignon
Black Cat Vineyards|Estate Syrah|$42.00 |red|2007|Syrah
|Cuvee  |$42.00 |red|2006|Blend
|Cabernet Sauvignon|$55.00 |red|2007|Cabernet Sauvignon
Bighorn Cellars|Chardonnay Camelback Vineyard|$25.00 |white|2007|Chardonnay
|Broken Rock Vineyard Merlot|$36.00 |red|2004|Merlot
|Cabernet Sauvignon|$45.00 |red|1997|Cabernet Sauvignon
Black Cordon Vineyards|Cabernet Sauvignon|$60.00 |red|2007|Cabernet Sauvignon
Black Coyote Chateau|Sauvignon Blanc|$22.00 |white|2008|Sauvignon Blanc
|Cabernet Reserve|$85.00 |red|2007|Cabernet Sauvignon
Black Sears Winery|Estate Zinfandel|$42.00 |red|2008|Zinfandel
|Estate Howell Mountain Red|$65.00 |red|2006|Blend
|Estate Cabernet Sauvignon|$80.00 |red|2004|Cabernet Sauvignon
Black Stallion Winery |Oak Knoll Riesling|$24.00 |white|2009|Riesling
|Carneros Chardonnay|$36.00 |white|2008|Chardonnay
|Cabernet Sauvignon|$75.00 |red|2002|Cabernet Sauvignon
|North Coast Muscat|$38.00 |dessert|2009|Muscat 
Blackford|Cabernet|$38.00 |red|2001|Cabernet Sauvignon
Boeschen Vineyards|Sauvignon Blanc||white|2009|Sauvignon Blanc
|Carrera Estate||red|2007|Blend
|Estate Cabernet Sauvignon||red|2007|Cabernet Sauvignon
Bond Estates|Melbury||red|2007|
|Quella||red|2007|
|St. Eden||red|2007|
Bouchaine Vineyards |Bouche d'Or Chadonnay|$30.00 |dessert|2009|Chardonnay
|Carneros Pinot Noir|$30.00 |red|2007|Pinot Noir
|Estate Chardonnay|$25.00 |white|2008|Chardonnay
Bourassa Vineyards |Merlot Reserve|$29.00 |red|2006|Merlot
|Cabernet Sauvignon|$26.00 |red|2006|Cabernet Sauvignon
|Petite Verdot|$49.00 |red|2006|Petit Verdot
Boyanci|Boyanci||red|2008|Blend
Boyd Family Vineyards|Ruby Tuesday Rose||rose|2009|Syrah
|Sauvignon Blanc||white|2009|Sauvignon Blanc
|Merlot||red|2006|Merlot
|Syrah||red|2007|Syrah
Brandes Cellars|Chardonnay|$30.00 |white|2005|Chardonnay
|Cabernet Sauvignon|$45.00 |red|2005|Cabernet Sauvignon
|Cabernet Sauvignon|$75.00 |red|2006|Cabernet Sauvignon
Bravante Vineyards |North Coast Sauvignon Blanc|$19.00 |white|2008|Sauvignon Blanc
|Howell Mountain Trio|$42.00 |red|2006|Blend
|Estate Merlot|$56.00 |red|2007|Merlot
|Estate Cabernet Sauvignon|$60.00 |red|2006|Cabernet Sauvignon
Bremer Family Winery|Merlot|$55.00 |red|2005|Merlot
|Claret|$70.00 |red|2005|Blend
|Austintatiuos|$105.00 |red|2005|Blend
Bressler Vineyards|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
|Cabernet Sauvignon||red|2004|Cabernet Sauvignon
Brian Arden Wines|Sauvignon Blanc|$23.00 |white|2009|Sauvignon Blanc
|Zinfandel|$28.00 |red|2008|Zinfandel
Broman Cellars |Sauvignon Blanc|$17.00 |white|2009|Sauvignon Blanc
|Syrah|$24.00 |red|2005|Syrah
|Cabernet Sauvignon|$48.00 |red|2005|Cabernet Sauvignon
Brookdale Vineyards|Cabernet sauvignon|$45.00 |red|2006|Cabernet Sauvignon
|Cabernet Sauvignon|$45.00 |red|2005|Cabernet Sauvignon
Brookman Cellars|Cabernet Sauvignon||red|2003|Cabernet Sauvignon
Brown Estate Vineyards |Zinfandel|$36.00 |red|2009|Zinfandel
|Cabernet Sauvignon|$55.00 |red|2006|Cabernet Sauvignon
|Duppy Conquerer|$98.00 |dessert|2007|Cabernet Sauvignon
Bryant Family Vineyard|Cabernet Sauvignon||red||Cabernet Sauvignon
Bucella|Cuvee Katrina Eileen||red|2008|Cabernet Sauvignon
|Cabernet Sauvignon||red|2008|Cabernet Sauvignon
|Merlot||red|2008|Merlot
Buehler Vineyards|Russian Reserve Chardonnay|$16.00 |white|2009|Chardonnay
|White Zinfandel|$7.00 |white|2009|Zinfandel
|Zinfandel|$19.00 |red|2009|Zinfandel
|Papa Knoll's Cabernet Sauvignon|$45.00 |red|2007|Cabernet Sauvignon
Buoncristiani Family Winery|Chardonnay|$90.00 |white|2009|Chardonnay
|Syrah|$60.00 |red|2007|Syrah
|O.P.C. |$48.00 |red|2007|Blend
|Cabernet Sauvignon|$90.00 |red|2007|Cabernet Sauvignon
Burgess Cellars|Petite Sirah|$25.00 |red|2007|Petite Sirah
|Merlot|$25.00 |red|2006|Merlot
|Cabernet Sauvignon|$36.00 |red|2006|Cabernet Sauvignon
|Reserve Cabernet Sauvignon|$72.00 |red|2005|Cabernet Sauvignon
C & T Cellars|Sauvignon Blanc|$15.00 |white|2008|Sauvignon Blanc
|Front Porch Merlot|$15.00 |red|2007|Merlot
|Rooftop Red Cab|$20.00 |red|2006|Cabernet Sauvignon
|Patio Pinot|$22.00 |red|2007|Pinot Noir
Ca' Momi|Bianco Di Napa||white|2009|Blend
|Moscato||dessert|2008|Moscato
|Zinfandel||red|2007|Zinfandel
|Pinot Noir||red|2008|Pinot Noir
Cade Winery|Sauvignon Blanc|$26.00 |white|2009|Sauvignon Blanc
|Cuvee Cabernet sauvignon|$60.00 |red|2007|Cabernet Sauvignon
|Howell Mountain Cabernet|$72.00 |red|2007|Cabernet Sauvignon
Cain Vineyard & Winery |NV6 Cuvee|$34.00 |red|2005|Blend
|NV6 Cuvee|$34.00 |red|2006|Blend
|Cain Five||red|2005|Blend
|The Benchland||red|2006|Cabernet Sauvignon
Cakebread Cellars|Sauvignon Blanc|$24.00 |white|2009|Sauvignon Blanc
|Zinfandel|$35.00 |red|2008|Zinfandel
|Syrah|$51.00 |red|2007|Syrah
|Benchland Select Cabernet Sauvignon|$106.00 |red|2006|Cabernet Sauvignon
Calafia Cellars|Red Table Wine||red|2005|Blend
Cali 351|Sauvignon Blanc|$24.00 |white|2007|Sauvignon Blanc
|Chardonnay |$30.00 |white|2006|Chardonnay
|Cabernet Sauvignon|$49.00 |red|2005|Cabernet Sauvignon
|Pinot Noir|$49.00 |red|2007|Pinot Noir
Calistoga Cellars|Sauvignon Blanc|$13.57 |white|2009|Sauvignon Blanc
|Cabernet Sauvignon|$28.50 |red|2007|Cabernet Sauvignon
|Triumph|$57.25 |red|2007|Blend
|Cabernet Sauvignon Port|$20.00 |port||Cabernet Sauvignon
Campion Winery|Pinot Noir||red|2005|Pinot Noir
|Pinot Noir||red|2006|Pinot Noir
Canard Vineyard|Estate Rose|$12.00 |rose|2007|Cabernet Sauvignon
|Estate Zinfandel||red|2006|Zinfandel
|Estate Cabernet Sauvignon||red|2006|Cabernet Sauvignon
Cardinale Estate|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
|Cabernet Sauvignon||red|2006|Cabernet Sauvignon
Carneros Della Notte|Oak Park Cabernet Sauvignon|$40.00 |red|2005|Cabernet Sauvignon
|Los Carneros Pinot Noir|$48.00 |red|2005|Pinot Noir
|Eclipse Late Harvest Pinot Noir|$60.00 |dessert|2006|Pinot Noir
|D III Vineyard Pinot Noir|$150.00 |red|2006|Pinot Noir
Carter Cellars|Truchard Vineyard Merlot|$65.00 |red|2008|Merlot
|Hossfeld Coliseum Red Blend|$75.00 |red|2008|Blend
|Revilo Vineyard Cabernet|$85.00 |red|2008|Cabernet Sauvignon
|To Kalon Cabernst|$125.00 |red|2008|Cabernet Sauvignon
Cartlidge & Browne Winery|Chardonnay||white|2008|Chardonnay
|Sauvignon Blanc||white|2008|Sauvignon Blanc
|Zinfandel||red|2007|Zinfandel
|Dessert Syrah||dessert||Syrah
Carver Sutro Wines|Petite Sirah||red|2006|Petite Sirah
Casa Carneros Winery|Merlot|$25.00 |red|2002|Merlot
|Pinot Noir|$35.00 |red|2005|Pinot Noir
Casa Nuestra Winery & Vineyards|Dry Chenin Blanc|$24.00 |white|2009|Chenin Blanc
|Dry Riesling|$24.00 |white|2009|Riesling
|Meritage|$45.00 |red|2007|Blend
|Cabernet Sauvignon|$55.00 |red|2007|Cabernet Sauvignon
Casa Piena Winery|Cabernet Sauvignon||red|2007|Cabernet Sauvignon
Castello di Amorosa |Pinot Grigio |$20.00 |white|2009|Pinot Grigio
|Gewurztraminer Dolcino|$21.00 |white|2009|Gewurztraminer
|Il Brigante|$29.00 |red|2006|Blend
|Merlot|$34.00 |red|2007|Merlot
Caymus Vineyards |Zinfandel|$32.00 |red|2007|Zinfandel
|Cabernet|$70.00 |red|2008|Cabernet Sauvignon
|Special Selection Cabernet|$130.00 |red|2008|Cabernet Sauvignon
Ceja Vineyards|Vino de Casa|$20.00 |white|2008|Blend
|Bella Flor|$22.00 |rose|2008|Syrah
|Carneros Merlot|$34.00 |red|2007|Merlot
|Cabernet Sauvignon|$50.00 |red|2006|Cabernet Sauvignon
Celani Family Vineyards|Vincezna Cabernet Rose|$16.99 |rose|2009|Cabernet Sauvignon
|Proprietary Red|$60.00 |red|2007|Blend
|Cabernet Sauvignon|$80.00 |red|2007|Cabernet Sauvignon
Chanticleer|Cabernet Sauvignon|$58.00 |red|2007|Cabernet Sauvignon
|Sangiovese|$45.00 |red|2008|Sangiovese
Chameleon Cellars|Sauvignon Blanc|$18.00 |white|2006|Sauvignon Blanc
|Carignane|$17.00 |red|2005|Carignane
|Zinfandel|$24.00 |red|2005|Zinfandel
|Cabernet Sauvignon|$31.00 |red|2005|Cabernet Sauvignon
Chappellet Winery |Chardonnay |$32.00 |white|2008|Chardonnay
|Mountain Cuvee|$29.00 |red|2008|Blend
|Signature Cabernet Sauvignon|$48.00 |red|2008|Cabernet Sauvignon
Charles Krug Winery |Sauvignon Blanc|$18.00 |white|2009|Sauvignon Blanc
|Carneros Chardonnay|$20.00 |white|2008|Chardonnay
|Carneros Pinot Noir|$25.00 |red|2007|Pinot Noir
|Vintage Selection Cabernet Sauvignon|$69.00 |red|2006|Cabernet Sauvignon
Charnu Winery|Cuvee Blanc|$24.00 |white|2009|Blend
|Cabernet Sauvignon|$75.00 |red|2007|Cabernet Sauvignon
Charter Oak Winery|Old Vine Petite Sirah|$42.00 |red|2007|Petite Sirah
|Estate Zinfandel|$42.00 |red|2007|Zinfandel
|Veeder Cabernet Sauvignon|$60.00 |red|2006|Cabernet Sauvignon
Chase Cellars |Petite Sirah|$45.00 |red|2006|Petite Sirah
|Hayne Vineyard Zinfandel|$45.00 |red|2007|Zinfandel
|Cabernet Sauvignon|$65.00 |red|2006|Cabernet Sauvignon
