winery name|wine| price |type|vintage|varietal
Cuvaison Winery|Sauvignon Blanc|$20.00 |white|2009|Sauvignon Blanc
|S Block Chardonnay|$38.00 |white|2008|Chardonnay
|Block F5 Pinot Noir|$45.00 |red|2008|Pinot Noir
|Brandlin Cabernet|$85.00 |red|2006|Cabernet Sauvignon
D.R. Stephens Estate|Chardonnay||white|2008|Chardonnay
|DR II||red|2007|Cabernet Sauvignon
|Moose Valley Vineyard Cabernet||red|2007|Cabernet Sauvignon
|Walther River Block||red|2007|Cabernet Sauvignon
Dana|Helms Vineyard Cabernet||red|2007|Cabernet Sauvignon
|Hershey Vineyard Caberent||red|2007|Cabernet Sauvignon
|Lotus Vineyard Cabernet||red|2007|Cabernet Sauvignon
Dancing Hares Vineyard |Dancing Hares||red|2006|Blend
Dalla Valle Vineyards|Maya||red||Blend
|Cabernet Sauvignon||red|2002|Cabernet Sauvignon
Darioush Winery|Signature Viognier|$39.00 |white|2009|Viognier
|Signature Chardonnay|$43.00 |white|2008|Chardonnay
|Signature Shiraz|$68.00 |red|2007|Shiraz
|Signature Cabernet Sauvignon|$80.00 |red|2007|Cabernet Sauvignon
Darms Lane|Cabernet Sauvignon|$60.00 |red|2006|Cabernet Sauvignon
|Linda's Hillside Cabernet |$75.00 |red|2007|Cabernet Sauvignon
David Arthur Vineyards|Sauvignon Blanc|$25.00 |white|2008|Sauvignon Blanc
|Chardonnay|$42.00 |white|2007|Chardonnay
|Meritaggio|$55.00 |red|2007|Blend
|Elevation 1147|$135.00 |red|2007|Cabernet Sauvignon
David Fulton Winery|Old Vine Petite Sirah|$45.00 |red|2006|Petite Sirah
Del Bondio Wine Co.|Chenin Blanc|$8.50 |white|2009|Chenin Blanc
|Oakville Syrah|$23.00 |red|2006|Syrah
|Cabernet Sauvignon|$36.00 |red|2006|Cabernet Sauvignon
|A Meta|$29.00 |red|2007|Blend
Del Dotto Vineyards|Caves Merlot |$39.00 |red|2005|Merlot
|Cave Blend|$49.00 |red|2007|Blend
|Howell Mountain Cabernet Franc|$125.00 |red|2007|Cabernet Franc
|Howell Mountain Cabernet Sauvignon|$195.00 |red|2007|Cabernet Sauvignon
Delectus Winery|Merlot|$50.00 |red|2006|Merlot
|Cabernet Sauvignon|$100.00 |red|2005|Cabernet Sauvignon
|Cuvee Julia|$135.00 |red|2006|Blend
Desante Wines|L'Atelier|$28.00 |white|2008|Blend
|Old Vine Chardonnay|$35.00 |white|2008|Chardonnay
|Old Vine Sauvignon Blanc|$32.00 |white|2008|Sauvignon Blanc
|Oakville Terraces Cabernet|$70.00 |red|2006|Cabernet Sauvignon
Detert Family Vineyards|Cabernet Franc||red|2007|Cabernet Franc
|Cabernet Sauvignon||red|2007|Cabernet Sauvignon
Diamond Creek Vineyards|Chardonnay|$18.00 |white|2007|Chardonnay
|Pinot Noir|$30.00 |red|2006|Pinot Noir
|Hira Ranch Merlot|$30.00 |red|2006|Merlot
|Cabernet Reserve|$30.00 |red|2005|Cabernet Sauvignon
Diamond Terrace|Howell Mountain Cabernet Sauvignon||red|2007|Cabernet Sauvignon
|Diamond Mountain Cabernet||red||Cabernet Sauvignon
Dillon Vineyards|Chardonnay Stainless Steel Fermented||white|2006|Chardonnay
|Chardonnay Barrel Fermented||white|2006|Chardonnay
Dolce|Dolce|$85.00 |dessert|2005|
Domaine Carneros|Brut Rose Sparkling|$36.00 |sparkling|2006|Blend
|Avant Garde Chardonnay|$30.00 |white|2008|Chardonnay
|Avant Garde Merlot|$30.00 |red|2006|Merlot
|The Famous Gate Pinot Noir|$68.00 |red|2007|Pinot Noir
Domaine Chandon |Viognier|$23.00 |red|2008|Viognier
|Pinot Noir Rose|$22.95 |rose|2008|Pinot Noir
|NV Rose|$25.00 |rose||
Domaine Charbay|Cabernet Sauvignon|$45.00 |red|2005|Cabernet Sauvignon
|Cabernet Sauvignon|$49.00 |red|2003|Cabernet Sauvignon
|Ruby Port|$50.00 |port||
|Distillers Port||port||Blend
Domaine Georg Rafael|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
Domaine La Due|Carneros Pinot Noir|$27.50 |red|2002|Pinot Noir
Dominari|Chardonnay|$25.00 |white|2007|Chardonnay
|Zinfandel|$35.00 |red|2007|Zinfandel
|Merlot|$45.00 |red|2006|Merlot
|Cabernet Sauvignon|$75.00 |red|2005|Cabernet Sauvignon
Dominus Estate |Dominus||red|2007|Blend
Downing Family Vineyards|Fly By Night Zinfandel|$24.00 |red|2007|Zinfandel
|Cabernet Sauvignon|$34.00 |red|2006|Cabernet Sauvignon
Drinkward Peschon|Entre Deux Meres||red|2007|Cabernet Sauvignon
Duckhorn Vineyards|Sauvignon Blanc|$27.00 |white|2009|Sauvignon Blanc
|Semillon|$27.00 |white|2009|Semillon
|Merlot|$52.00 |red|2007|Merlot
|Estate Grown Cabernet Sauvignon|$95.00 |red|2006|Cabernet Sauvignon
Dunn Vineyards |Howell Mountain Cabernet Sauvignon||red||Cabernet Sauvignon
|Napa Valley Cabernet Sauvignon||red||Cabernet Sauvignon
Dutch Henry Winery|Rutherford Zinfandel|$46.00 |red|2006|Zinfandel
|Estate Syrah|$48.00 |red|2006|Syrah
|Pinot Noir|$49.00 |red|2006|Pinot Noir
|Chafen Family Reserve Cabernet|$95.00 |red|2005|Cabernet Sauvignon
Dyer Vineyard|Cabernet Sauvignon||red|2006|Cabernet Sauvignon
|Cabernet Sauvignon||red|2007|Cabernet Sauvignon
|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
Eagle & Rose Estate |Zinfandel Rose|$12.00 |rose|2008|Zinfandel
|Sauvignon Blanc|$14.00 |white|2008|Sauvignon Blanc
|Cabernet Sauvignon|$26.00 |red|2007|Cabernet Sauvignon
|Late Harvest Sauvignon Blanc|$24.00 |dessert|2006|Sauvignon Blanc
Eagle Eye|Sauvignon Blanc|$19.99 |white|2008|Sauvignon Blanc
|Merlot|$21.99 |red|2005|Merlot
|Voluptous|$24.99 |red|2006|Blend
|Cabernet Sauvignon|$31.99 |red|2005|Cabernet Sauvignon
Eagle Trace|Because|$28.00 |red|2007|Blend
|Estate Grown Merlot|$45.00 |red|2006|Merlot
|Pinot Noir|$65.00 |red|2007|Pinot Noir
|Estate Grown Cabernet Sauvignon|$60.00 |red|2005|Cabernet Sauvignon
Edge|Cabernet Sauvignon|$20.00 |red|2008|Cabernet Sauvignon
Ehlers Estate|Estate Sauvignon Blanc|$28.00 |white|2009|Sauvignon Blanc
|Estate Merlot|$45.00 |red|2007|Merlot
|One Twenty Over Eight|$45.00 |red|2007|Cabernet Sauvignon
|Estate St. Helena Cabernet Sauvignon 1886|$95.00 |red|2006|Cabernet Sauvignon
El Molino Winery|Rutherford Chardonnay||white|2008|Chardonnay
|Rutherford Pinot Noir||red|2007|Pinot Noir
Elaine St. Clair|Syrah|$32.00 |red|2005|Syrah
Elan Vineyards|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
|Cabernet Sauvignon||red|2006|Cabernet Sauvignon
Elizabeth Spencer Wines|Chenin Blanc|$25.00 |white|2009|Chenin Blanc
|ExS Block 7 Chardonnay|$60.00 |white|2007|Chardonnay
|Cabernet Franc|$55.00 |red|2007|Cabernet Franc
|Rutherford Cabernet Sauvignon|$75.00 |red|2006|Cabernet Sauvignon
Elke Vineyards|Brut Sparkling Pinot & Chardonnay|$20.00 |sparkling||Blend
|Chardonnay|$20.00 |white|2009|Chardonnay
|Blue Diamond Pinot Noir|$34.00 |red|2007|Pinot Noir
|Rose Of Pinot Noir|$15.00 |rose|2008|Pinot Noir
Elkhorn Peak Cellars|Pinot Noir|$34.00 |red|2007|Pinot Noir
|Chardonnay|$28.00 |white|2007|Chardonnay
|Pinot Noir Rose|$20.00 |rose|2008|Pinot Noir
|Dessert Wine|$20.00 |dessert||Blend
Elyse Wine Cellars |L'ingenue|$28.00 |white|2008|Blend
|Chardonnay|$32.00 |white|2008|Chardonnay
|Morisoli Vineyard Cabernet|$70.00 |red|2005|Cabernet Sauvignon
|Cabernet Sauvignon Port|$32.00 |port|2005|Cabernet Sauvignon
Emerson Brown|Cabernet Sauvignon|$50.00 |red|2007|Cabernet Sauvignon
EMH Vineyards|Black Cat Cabernet Sauvignon|$75.00 |red|2008|Cabernet Sauvignon
|Black Cat Cabernet Sauvignon|$85.00 |red|2007|Cabernet Sauvignon
Emilio's Terrace|Emilio's Terrace|$40.00 |red|2007|Blend
Emmolo Wine Co.|Sauvignon Blanc||white|2009|Sauvignon Blanc
|Merlot||red|2007|Merlot
|Syrah||red|2006|Syrah
Envy Wines|Sauvignon Blanc|$23.00 |white|2008|Sauvignon Blanc
|Bee Bee's Blend|$48.00 |red|2007|Blend
|Estate Petite Sirah|$45.00 |red|2008|Petite Sirah
|Estate Merlot|$34.00 |red|2008|Merlot
Enzo Wines|Magic Hill|$95.00 |red|2006|Blend
Eponymous|Red Wine  |$45.00 |red|2007|Blend
|Cabernet Sauvignon|$58.00 |red|2006|Cabernet Sauvignon
Erba Mountainside Vineyrds|Chardonnay|$28.00 |white|2007|Chardonnay
|Merlot|$37.00 |red|2004|Merlot
|Merlot|$37.00 |red|2005|Merlot
|Syrah|$40.00 |red|2004|Syrah
|Syrah|$40.00 |red|2005|Syrah
|Cabernet Sauvignon|$55.00 |red|2004|Cabernet Sauvignon
|Cabernet Sauvignon|$55.00 |red|2005|Cabernet Sauvignon
Esca Wines|Syrah|$23.00 |red|2006|Syrah
|Cabernet Sauvignon|$28.00 |red|2006|Cabernet Sauvignon
Etude Wines|Rose Of Pinot Noir|$20.00 |rose|2009|Pinot Noir
|Pinot Noir Estate Carneros|$42.00 |red|2007|Pinot Noir
|Cabernet Sauvignon Rutherford|$100.00 |red|2006|Cabernet Sauvignon
Failla|Sonoma Coast Chardonnay||white|2009|Chardonnay
|Vivien Pinot Noir||red|2007|Pinot Noir
|Pinot Noir Peay Vineyard||red|2007|Pinot Noir
|Syrah Estate Vineyard||red|2008|Syrah
Fairchild Estate Vineyards|Napa Valley Cabernet Sauvignon|$125.00 |red|2007|Cabernet Sauvignon
|Sigaro Cabernet Sauvignon|$150.00 |red|2007|Cabernet Sauvignon
Fantesca Estate & Winery|Chardonnay Russian River|$75.00 |white|2008|Chardonnay
|Cabernet Sauvignon|$90.00 |red|2007|Cabernet Sauvignon
Far Niente Winery|Bottled Chardonnay|$56.00 |white|2009|Chardonnay
|Estate Bottled Cabernet Sauvignon|$105.00 |red|2007|Cabernet Sauvignon
|Cave Collection Cabernet Sauvignon|$135.00 |red|2006|Cabernet Sauvignon
Farella Vineyard|La Luce Sauvignon Blanc|$15.00 |white|2009|Sauvignon Blanc
|Coombsville Divide Merlot|$24.00 |red|2006|Merlot
|Road Block Syrah|$30.00 |red|2007|Syrah
|ALTA Bordeaux Blend|$75.00 |red|2005|Blend
Faust |Faust|$50.00 |red|2006|Blend
Favia|Suize Viognier||white|2006|Viognier
|Cerro Sur Napa Valley Red Wine||red|2007|Blend
|La Magdelana Napa Valley Red Wine||red|2007|Blend
|Quarzo Amador Syrah||red|2007|Syrah
Fleury Estate Winery|ZCAB|$65.00 |red|2007|Blend
|Pinot Noir|$75.00 |red|2007|Pinot Noir
|Lauren Bryce Cabernet Sauvignono|$125.00 |red|2006|Cabernet Sauvignon
|Howell Mountain BDX Reserve Blend|$210.00 |red|2007|Blend
Flora Springs Winery & Vineyards|Barrel Fermented Chardonnay|$30.00 |white|2008|Chardonnay
|Trilogy|$65.00 |red|2007|Blend
|Napa Valley Merlot|$24.00 |red|2008|Merlot
|Napa Valley Cabernet Sauvignon|$36.00 |red|2007|Cabernet Sauvignon
Flying Horse Winery |Sauvignon Blanc|$16.00 |white|2007|Sauvignon Blanc
|Cabernet Sauvignon|$25.00 |red|2006|Cabernet Sauvignon
|Petite Sirah|$25.00 |red|2006|Petite Sirah
Folie a Deux|Sauvignon Blanc|$17.00 |white|2007|Sauvignon Blanc
|Chardonnay|$18.00 |white|2007|Chardonnay
|Zinfandel Amador County|$18.00 |red|2007|Zinfandel
|Cabernet Sauvignon|$28.00 |red|2007|Cabernet Sauvignon
Forman Vineyards|Chardonnay||white|2003|Chardonnay
|Cabernet Sauvignon ||red|2002|Cabernet Sauvignon
Fontanella Family Winery|Chardonnay Mt. Veeder |$30.00 |white|2009|Chardonnay
|Chardonnay Napa Valley|$18.00 |white|2008|Chardonnay
|Cabernet Sauvignon Mt. Veeder|$50.00 |red|2007|Cabernet Sauvignon
Fountainhead Cellars|Morisoli Borges Cabernet Sauvignon|$45.00 |red|2003|Cabernet Sauvignon
Franciscan |Sauvignon Blanc||white|2008|Sauvignon Blanc
|Chardonnay ||white|2008|Chardonnay
|Merlot||red|2006|Merlot
|Magnificat||red|2006|Blend
Frank Family Vineyards |Chardonnay|$32.50 |white|2008|Chardonnay
|Zinfandel|$36.75 |red|2007|Zinfandel
|Reserve Pinot Noir|$55.00 |red|2008|Pinot Noir
|Zinfandel Port|$65.00 |port||Zinfandel
Franus Wine Company |Rose Lake County|$15.00 |rose|2009|Blend
|Chardonnay|$32.00 |white|2009|Chardonnay
|Zinfandel Brandlin Vineyard|$35.00 |red|2007|Zinfandel
|Red Wine Napa Valley|$50.00 |red|2005|Blend
Frazier Winery|Merlot|$40.00 |red|2007|Merlot
|Cabernet Franc|$52.00 |red|2007|Cabernet Franc
|Petite Verdot|$75.00 |red|2007|Petite Verdot
|Memento|$110.00 |red|2006|Cabernet Sauvignon
Freemark Abbey Winery|Sauvignon Blanc||white|2009|Sauvignon Blanc
|Viognier||white|2009|Viognier
|Josephine||red|2006|Blend
|Edelwein Gold Late Harvest Rielsings||dessert|2008|Riesling
Frias Family Vineyard |Red Wine|$35.00 |red|2007|Blend
|Syrah|$35.00 |red|2007|Syrah
|Spring Mountain Cabernet|$70.00 |red|2006|Cabernet Sauvignon
|Rose Wine|$17.00 |rose|2009|
Frog's Leap Winery |Sauvignon Blanc|$18.00 |white|2009|Sauvignon Blanc
|Zinfandel|$27.00 |red|2008|Zinfandel
|Rutherford|$75.00 |red|2006|Cabernet Sauvignon
|Pink|$14.00 |rose|2009|Blend
Fuse|Cabernet Sauvignon Napa Valley|$25.00 |red|2006|Blend
Futo |FUTO||red|2007|Blend
|FUTO||red|2006|Blend
G Cook|Merlot||red|2005|Merlot
|Abduction||red|2006|Blend
|Zinfandel||red||Zinfandel
|Estate Cabernet||red|2004|Cabernet Sauvignon
Gabrielle Collection|Equilateral||red|2004|Cabernet Sauvignon
|Juxtaposition||red|2004|Blend
|Vertex Red Cuvee Blend 611||red|2003|Blend
|Vertex Red Cuvee Blend 611||red|2004|Blend
Galleron Signature Wines|Jaeger Merlot||red|2002|Merlot
|Zinfandel Branham Rockpile|$32.00 |red|2002|Zinfandel
|Cabernet Sauvignon Generation Series|$40.00 |red|2004|Cabernet Sauvignon
Gamble Family Vineyards|Sauvignon Blanc|$28.00 |white|2008|Sauvignon Blanc
|Heritage Sites|$25.00 |red|2006|Blend
|Old Vine Syrah|$36.00 |red|2006|Syrah
|Paramount Red Wine|$60.00 |red|2005|Blend
Gargiulo Vineyards|Wood Ranch Chardonnay||white||Chardonnay
|Aprile Super Oakville Blend||red||Blend
|Money Road Ranch Merlot||red||Merlot
|575 OVX Cabernet Sauvignon||red||Cabernet Sauvignon
Garric Cellars|Cabernet Sauvignon||red|2006|Cabernet Sauvignon
|Cabernet Sauvignon||red|2007|Cabernet Sauvignon
|GRX The Precription||red|2007|Cabernet Sauvignon
Gemella Wines|Napa Valley Viognier|$35.00 |white|2008|Viognier
|Petite Sirah Port|$60.00 |port|2005|Petite Sirah
Gemstone Vineyard|Gemstone||red|2007|Cabernet Sauvignon
|Gemstone||red|2006|Cabernet Sauvignon
Ghost Horse Vineyards|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
|Fantome||red|2005|Cabernet Sauvignon
|Apparition||red|2005|Cabernet Sauvignon
|Spectre||red|2005|Cabernet Sauvignon
Girard Winery|Sauvignon Blanc|$16.00 |white|2009|Sauvignon Blanc
|Old Vine Zinfandel|$24.00 |red|2008|Zinfandel
|Petite Sirah|$28.00 |red|2008|Petite Sirah
|Diamond Mountain Cabernet|$75.00 |red|2007|Cabernet Sauvignon
Godspeed Vineyards|Chardonnay||white|2007|Chardonnay
|Cabernet||red|2002|Cabernet Sauvignon
|Trinity||red|2005|Blend
Goosecross Cellars|Oak Knoll Viognier|$32.00 |white|2009|Viognier
|Napa Valley Pinot Noir|$39.00 |red|2009|Pinot Noir
|Napa Valley Syrah|$36.00 |red|2007|Syrah
|Napa Valley Cabernet Sauvignon|$52.00 |red|2007|Cabernet Sauvignon
Grace Family Vineyards|Cabernet Sauvignon||red|2003|Cabernet Sauvignon
|Blank Vineyard||red|2003|Cabernet Sauvignon
Grassi|Ribolla|$28.00 |white|2009|Ribolla
|Cabernet Sauvignon|$60.00 |red|2007|Cabernet Sauvignon
|Cabernet Sauvignon|$60.00 |red|2006|Cabernet Sauvignon
Grasso Vineyard|Chardonnay|$27.00 |white|2007|Chardonnay
|Cabernet Sauvignon Olive Ridge Vineyard|$49.00 |red|2006|Cabernet Sauvignon
Green & Red Vineyard|Sauvignon Blanc Catacula Vineyard|$20.00 |white|2008|Sauvignon Blanc
|Zinfandel Tip Top Vineyard|$28.00 |red|2006|Zinfandel
|Sobrante|$23.00 |red|2005|Blend
|Petite Sirah Tip Top Vineyard|$30.00 |red|2005|Petite Sirah
Gridley Family Cellars|Cabernet Franc|$45.00 |red|2006|Cabernet Franc
|Rose of Cabernet Franc|$19.00 |rose|2009|Cabernet Franc
Grgich Hills Estate|Fume Blanc|$30.00 |white|2008|Sauvignon Blanc
|Chardonnay Carneros|$75.00 |white|2006|Chardonnay
|Miljenkos Old Vine Zinfandel|$85.00 |red|2008|Zinfandel
|Yountville Selection Cabernet Sauvignon|$135.00 |red|2006|Cabernet Sauvignon
